,Echantillon,Type,Value,Depth_cm
0,B2,Db,0.0,
1,B2,SSE,0.005730606810046549,
2,B2,R_int,-0.028119058987329977,
3,B2,r^2,0.9943457069918992,
0,B2,R,0.0,0.0
1,B2,R,-0.06400227306865966,0.03214285714285715
2,B2,R,-0.10965740956521695,0.0642857142857143
3,B2,R,-0.1096591714755494,0.09642857142857145
4,B2,R,-0.06037949414819334,0.1285714285714286
5,B2,R,-0.0539933678241449,0.16071428571428573
6,B2,R,-0.053993044159385224,0.1928571428571429
7,B2,R,-0.0539943988599944,0.22500000000000003
8,B2,R,-0.051154322806112394,0.2571428571428572
9,B2,R,-0.039852261221603014,0.2892857142857143
10,B2,R,-0.03984844216023848,0.32142857142857145
11,B2,R,-0.1191404916128971,0.3535714285714286
12,B2,R,-0.11914049159271539,0.3857142857142858
13,B2,R,0.0,0.4178571428571429
14,B2,R,0.0,0.45
0,B2,C,223.7130965512999,0.0
1,B2,C,212.98792313835466,0.01
2,B2,C,201.78698476829533,0.02
3,B2,C,190.32999947985556,0.03
4,B2,C,178.81994944190728,0.04
5,B2,C,167.47342683704832,0.05
6,B2,C,156.4165001520652,0.06
7,B2,C,145.73290431137562,0.07
8,B2,C,135.40159312158596,0.08
9,B2,C,125.30867662268045,0.09
10,B2,C,115.3902640214307,0.1
11,B2,C,105.66635075677773,0.11
12,B2,C,96.1598222877364,0.12
13,B2,C,86.90864683305557,0.13
14,B2,C,77.94826424587791,0.14
15,B2,C,69.31157434700046,0.15
16,B2,C,61.02895608878507,0.16
17,B2,C,53.115601180675675,0.17
18,B2,C,45.58375285256412,0.18
19,B2,C,38.40947707159397,0.19
20,B2,C,31.559394068741405,0.2
21,B2,C,25.034594165740373,0.21
22,B2,C,18.849529368620072,0.22
23,B2,C,13.235250598019018,0.23
24,B2,C,8.59198908868941,0.24
25,B2,C,5.161099894852253,0.25
26,B2,C,2.963230117650608,0.26
27,B2,C,1.8478610455127213,0.27
28,B2,C,1.2350652592406008,0.28
29,B2,C,0.6190179458837672,0.29
30,B2,C,0.0,0.3
0,C4,Db,0.0,
1,C4,SSE,0.0074239983819008384,
2,C4,R_int,-0.03081758597306901,
3,C4,r^2,0.9926260326240426,
0,C4,R,0.0,0.0
